iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
78,10%;2196;m;Svobodu slepicím!;2024;Slovensko / Česko;Krátkometrážní / Animovaný;Matúš Vizár;;
76,80%;2308;m;I Died in Irpin;2024;Česko / Slovensko;Krátkometrážní / Animovaný;Anastasia Falileieva;;
76,10%;2358;m;Život k sežrání;2024;Česko / Slovensko;Loutkový / Animovaný;Kristina Dufková;Hugo Kovács, Tatiana Dyková;
74,60%;2431;st;Bzukot Země;2024;Česko;Krátkometrážní;Greta Stocklassa;Angela Nwagbo, Helena Dvořáková;
71,90%;2519;m;Nahoře nebe, v dolině já;2024;Slovensko / Česko;Drama;Katarína Gramatová;Michal Záchenský, Eva Mores;
70,00%;2557;m;MIKI;2024;Slovensko / Česko;Thriller / Drama;Jakub Kroner;Milan Ondrík, Dušan Cinkota;
70,00%;2558;m;Stín vítězství;2024;Norsko / Slovensko;Drama / Krimi;Bård Breien;Tobias Santelmann, Odin Waage;
68,30%;2577;m;Mord;2024;Česko / Slovensko;Drama / Komedie;Adam Martinec;Karel Martinec, Miloslav Čížek;
67,40%;2583;m;Válka policajtů;2024;Slovensko / Česko;Akční / Thriller;Rudolf Biermann;Alexander Bárta, Juraj Loj;
;2591;m;Anora;2024;USA;;Sean Baker;;Cannes
;2592;m;Ještě nejsem, kým chci být;2024;Česko;Dokument;Klára Tasovská;;Český lev - doku
92,10%;59;s;Sósó no Frieren;2023;Japonsko;Animovaný / Dobrodružný;Keiičiró Saitó, Jošiaki Kawadžiri;Acumi Tanezaki, Jódži Ueda;
92,10%;62;m;Now and Then: The Last Beatles Song;2023;Velká Británie;Dokumentární / Hudební;Oliver Murray;Paul McCartney, Ringo Starr;
90,70%;110;s;Kusurija no hitorigoto;2023;Japonsko;Animovaný / Drama;Norihiro Naganuma, Kentaró Fudžita;Aoi Júki, Takeo Ócuka;
89,60%;170;s;Slovo pacana. Krov na asfaltě;2023;Rusko;Krimi / Drama;Žora Kryžovnikov;Ivan Jankovskij, Anastasija Krasovskaja;
89,20%;191;s;Modrooký samuraj;2023;USA;Animovaný / Akční;Jane Wu, Ryan O'Loughlin;Randall Park, Maya Erskine;
88,70%;226;m;Cool Boy!;2023;Česko;Krátkometrážní / Komedie;Adam Lysek, Dušan Brachna;;
88,60%;235;s;The Amazing Digital Circus;2023;Austrálie;Animovaný / Komedie;Cooper Smith Goodwin;Michael Kovach;
87,70%;316;s;Světlo naděje;2023;USA;Životopisný / Historický;Leslie Hope, Susanna Fogel;Bel Powley, Liev Schreiber;
87,20%;374;s;Scavengers Reign;2023;USA;Animovaný / Sci-Fi;Joe Bennett, Charles Huettner;Alia Shawkat, Wunmi Mosaku;
87,10%;391;m;Spider-Man: Napříč paralelními světy;2023;USA;Animovaný / Akční;Joaquim Dos Santos, Kemp Powers;Shameik Moore, Hailee Steinfeld;
86,10%;532;s;Oši no ko;2023;Japonsko;Animovaný / Drama;Daisuke Hiramaki, Rjóta Itó;Rie Takahaši, Takeo Ócuka;
84,80%;830;s;Death's Game;2023;Jižní Korea;Drama / Fantasy;Ha Byung-Hoon;In-guk Seo, So-dam Park;
84,30%;1024;m;Bastard;2023;Dánsko / Švédsko;Drama / Historický;Nikolaj Arcel;Mads Mikkelsen, Amanda Collin;
84,10%;1099;m;Jagna;2023;Polsko / Srbsko;Drama / Historický;DK Welchman, Hugh Welchman;Kamila Urzędowska, Robert Gulaczyk;
84,00%;1139;m;Jeden život;2023;Velká Británie;Drama / Životopisný;James Hawes;Anthony Hopkins, Johnny Flynn;
83,10%;1402;m;Tatami;2023;Gruzie / USA;Drama / Thriller;Guy Nattiv, Zar Amir Ebrahimi;Arienne Mandi, Zar Amir Ebrahimi;
82,90%;1476;s;Silo;2023;USA;Sci-Fi / Drama;Amber Templemore, Michael Dinner;Rebecca Ferguson, Common;
