iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
82,40%;1670;m;Sex Pistols: Děs a běs;2000;Velká Británie / USA;Dokumentární / Hudební;Julien Temple;John Lydon, Sid Vicious;
82,30%;1685;m;Traffic - Nadvláda gangů;2000;USA / Německo;Krimi / Drama;Steven Soderbergh;Michael Douglas, Don Cheadle;
82,30%;1686;m;Legenda o slavném návratu;2000;USA;Drama / Fantasy;Robert Redford;Will Smith, Matt Damon;
82,30%;1687;m;Na pokraji slávy;2000;USA;Hudební / Drama;Cameron Crowe;Billy Crudup, Frances McDormand;
82,20%;1725;m;Trosečník;2000;USA;Dobrodružný / Drama;Robert Zemeckis;Tom Hanks, Helen Hunt;
82,00%;1784;m;Krtek a vlaštovka;2000;Česko;Animovaný / Rodinný;Zdeněk Miler;;
81,80%;1836;m;X-Men;2000;USA;Akční / Dobrodružný;Bryan Singer;Hugh Jackman, Patrick Stewart;
81,70%;1859;m;Není král jako král;2000;USA;Animovaný / Komedie;Mark Dindal;David Spade, John Goodman;
81,70%;1869;m;Cirque du Soleil: Cesta člověka;2000;USA;Dokumentární / Hudební;Keith Melton;Ian McKellen;
80,60%;1988;m;John Lennon: Gimme Some Truth;2000;Velká Británie;Dokumentární / Hudební;Andrew Solt;John Lennon, Yoko Ono;
78,90%;2118;m;Krtek a rybka;2000;Česko;Animovaný / Rodinný;Zdeněk Miler;;
78,50%;2165;m;Raz dva;2000;Tchaj-wan / Japonsko;Drama / Hudební;Edward Yang;Nien-Jen Wu, Elaine Yin-Ling Kam;
76,10%;2361;m;Kytice;2000;Česko;Drama / Horor;F. A. Brabec;Linda Rybová, Bolek Polívka;
75,00%;2414;m;Der Lebensborn - Pramen života;2000;Česko;Drama / Historický;Milan Cieslar;Monika Hilmerová, Michał Sieczkowski;
70,40%;2550;m;Krajinka;2000;Slovensko / Česko;Drama / Povídkový;Martin Šulík;Juraj Paulen, Anton Vaculík;
;2638;m;Tanec v temnotách;2000;Dánsko;;Lars von Trier;;Cannes
92,90%;39;m;Zelená míle;1999;USA;Drama / Mysteriózní;Frank Darabont;Tom Hanks, David Morse;
91,20%;95;m;Pelíšky;1999;Česko;Komedie / Drama;Jan Hřebejk;Miroslav Donutil, Jiří Kodet;
90,30%;133;m;Matrix;1999;USA;Akční / Sci-Fi;Lilly Wachowski, Lana Wachowski;Keanu Reeves, Laurence Fishburne;
89,30%;186;s;Initial D: Second Stage;1999;Japonsko;Animovaný / Akční;Šin'iči Masaki, Júzó Jamada;Šin'ičiró Miki, Ajako Kawasumi;
88,20%;270;m;Šestý smysl;1999;USA;Drama / Thriller;M. Night Shyamalan;Bruce Willis, Toni Collette;
88,10%;276;m;Klub rváčů;1999;USA / Německo;Drama / Thriller;David Fincher;Edward Norton, Brad Pitt;
87,80%;314;m;Blink 182: The Urethra Chronicles;1999;Austrálie / Kanada;Dokumentární / Hudební;Marcos Siega, Darren Doane;Mark Hoppus, Thomas DeLonge;
87,40%;357;s;Futurama;1999;USA;Animovaný / Komedie;Chris Sauve, Gregg Vanzo;Billy West, Katey Sagal;
87,30%;369;m;Americká krása;1999;USA;Drama;Sam Mendes;Kevin Spacey, Annette Bening;Oscar
86,40%;498;s;Rodina Sopránů;1999;USA;Drama / Krimi;Alan Taylor, Andy Wolk;James Gandolfini, Edie Falco;
86,10%;538;s;Hunter x Hunter;1999;Japonsko;Animovaný / Dobrodružný;Kazuhiro Furuhaši, Šinobu Tagašira;Hozumi Góda, Juki Kaida;
85,10%;756;s;Courage the Cowardly Dog;1999;USA;Animovaný / Komedie;John Dilworth;Marty Grabstein, Thea White;
84,60%;929;m;Toy Story 2: Příběh hraček;1999;USA;Animovaný / Dobrodružný;Ash Brannon, John Lasseter;Tom Hanks, Tim Allen;
84,60%;930;m;Železný obr;1999;USA;Animovaný / Rodinný;Brad Bird;Jennifer Aniston, Harry Connick, Jr.;
84,50%;964;m;Pravidla moštárny;1999;USA;Drama / Romantický;Lasse Hallström;Tobey Maguire, Charlize Theron;
84,50%;965;s;GTO;1999;Japonsko;Animovaný / Akční;Norijuki Abe, Satoši Nakagawa;Wataru Takagi, Fumiko Orikasa;
84,40%;1004;m;Krtek a flétna;1999;Česko;Rodinný / Krátkometrážní;Zdeněk Miler;;
84,40%;1018;m;ABBA: Vítěz bere všechno;1999;USA;Dokumentární / Hudební;Steve Cole, Chris Hunt;Elaine Paige, Bono;
84,30%;1042;m;Barva ráje;1999;Írán;Drama;Majid Majidi;Hossein Mahjoub, Mohsen Ramezani;
84,20%;1079;m;Odplata;1999;USA;Akční / Krimi;Brian Helgeland;Mel Gibson, Gregg Henry;
84,20%;1080;m;Ruróni Kenšin: Meidži kenkaku rómantan – Cuioku hen;1999;Japonsko;Animovaný / Drama;Kazuhiro Furuhaši;Majo Suzukaze, Hirotaka Suzuoki;
84,10%;1117;s;One Piece;1999;Japonsko;Animovaný / Dobrodružný;Daisuke Nišio, Hiroaki Mijamoto;Majumi Tanaka, Ikue Ótani;
83,50%;1296;s;Tenacious D;1999;USA;Komedie / Hudební;Troy Miller;Jack Black, Kyle Gass;
83,30%;1359;m;Vše o mé matce;1999;Španělsko / Francie;Drama;Pedro Almodóvar;Cecilia Roth, Marisa Paredes;
83,20%;1383;st;Test;1999;Česko;Animovaný / Krátkometrážní;Václav Švankmajer;Tomáš Hanák;
83,10%;1419;m;Magnolia;1999;USA;Drama;Paul Thomas Anderson;Julianne Moore, Jason Robards;
83,00%;1457;m;Příběh Alvina Straighta;1999;USA / Velká Británie;Drama / Road movie;David Lynch;Richard Farnsworth, Sissy Spacek;
82,90%;1488;m;Kluci nepláčou;1999;USA;Krimi / Drama;Kimberly Peirce;Hilary Swank, Chloë Sevigny;
82,70%;1574;m;Ospalá díra;1999;USA / Německo;Fantasy / Horor;Tim Burton;Johnny Depp, Christina Ricci;
82,70%;1575;m;Ghost Dog - Cesta samuraje;1999;USA / Francie;Akční / Drama;Jim Jarmusch;Forest Whitaker, John Tormey;
82,70%;1576;s;Machři a šprti;1999;USA;Drama / Komedie;Danny Leiner, Bryan Gordon;Linda Cardellini, John Francis Daley;
82,40%;1656;m;Všichni moji blízcí;1999;Česko / Slovensko;Drama / Historický;Matej Mináč;Josef Abrhám, Libuše Šafránková;
81,60%;1882;m;Tarzan;1999;USA;Animovaný / Dobrodružný;Kevin Lima, Chris Buck;Tony Goldwyn, Minnie Driver;
81,60%;1883;m;Vítězové a poražení;1999;USA;Drama / Sportovní;Oliver Stone;Al Pacino, Cameron Diaz;
81,60%;1897;m;Slavná alba: U2 - The Joshua Tree;1999;USA;Dokumentární / Hudební;Philip King, Nuala O'Connor;Bono, The Edge;
81,50%;1905;m;Muž na Měsíci;1999;USA / Velká Británie;Komedie / Drama;Miloš Forman;Jim Carrey, Danny DeVito;
81,50%;1910;m;Buena Vista Social Club;1999;Německo / USA;Dokumentární / Hudební;Wim Wenders;Luis Barzaga, Ry Cooder;
81,20%;1936;m;Pád;1999;Česko / Kanada;Animovaný / Loutkový;Aurel Klimt;Anne Day-Jones;
78,60%;2151;m;Krtek a pramen;1999;Česko;Animovaný / Rodinný;Zdeněk Miler;;
77,70%;2237;m;Human Traffic;1999;Velká Británie / Irsko;Komedie / Drama;Justin Kerrigan;John Simm, Lorraine Pilkington;
77,40%;2260;m;Byl jsem mladistvým intelektuálem;1999;Česko;Krátkometrážní / Komedie;Marek Dobeš, Štěpán Kopřiva;Vladimír Brabec, Vladimír Škultéty;
76,80%;2311;m;Návrat idiota;1999;Česko / Německo;Romantický / Komedie;Saša Gedeon;Pavel Liška, Tatiana Dyková;Český lev
76,60%;2330;m;Krtek a šťoura;1999;Česko;Rodinný / Krátkometrážní;Zdeněk Miler;;
76,30%;2345;st;V kostce;1999;Slovensko;Krátkometrážní / Animovaný;Michal Struss;;
72,80%;2497;m;Dravci;1999;Velká Británie / USA;Horor / Thriller;Antonia Bird;Guy Pearce, Robert Carlyle;
;2639;m;Rosetta;1999;Belgie;;Luc a Jean-Pierre Dardenne;;Cannes
;2661;m;Emperor: Emperial Live Ceremony;1999;Velká Británie;Dokumentární / Hudební;;;
91,90%;67;m;Instrument;1998;USA / Itálie;Dokumentární / Hudební;Jem Cohen;Joe Lally, Brendan Canty;
91,90%;69;m;Kiss: The Second Coming;1998;USA;Dokumentární / Hudební;Gene Simmons, Paul Stanley;;
91,80%;75;m;Pearl Jam: Single Video Theory;1998;USA;Hudební / Dokumentární;Mark Pellington;Eddie Vedder, Stone Gossard;
90,90%;102;m;Wu-Tang;1998;USA;Dokumentární / Hudební;Method Man, Raekwon;;
89,30%;187;m;Zachraňte vojína Ryana;1998;USA;Drama / Válečný;Steven Spielberg;Tom Hanks, Edward Burns;
88,70%;232;s;Initial D;1998;Japonsko;Animovaný / Drama;Šin Misawa, Šin'iči Masaki;Šin'ičiró Miki, Ajako Kawasumi;
88,20%;271;m;Kult hákového kříže;1998;USA;Drama / Krimi;Tony Kaye;Edward Norton, Edward Furlong;
87,00%;411;m;Meeting People Is Easy;1998;Velká Británie;Dokumentární / Hudební;Grant Gee;Thom Yorke, Jonny Greenwood;
86,90%;419;m;Truman Show;1998;USA;Drama / Komedie;Peter Weir;Jim Carrey, Laura Linney;
86,70%;447;m;Sbal prachy a vypadni;1998;Velká Británie;Krimi / Thriller;Guy Ritchie;Jason Flemyng, Dexter Fletcher;
86,50%;479;s;Kovboj Bebop: Lovec odměn;1998;Japonsko;Animovaný / Akční;Šin'ičiró Watanabe, Ikuró Sató;Kóiči Jamadera, Unšó Išizuka;
85,70%;614;m;Česká soda;1998;Česko;Komedie;Milan Šteindler, Václav Křístek;Petr Čtvrtníček, Milan Šteindler;
85,20%;729;s;Ze Země na Měsíc;1998;USA;Akční / Drama;David Frankel, Jon Turteltaub;Tom Hanks, Nick Searcy;
85,20%;730;s;Čtvrtníček, Šteindler a Vávra;1998;Česko;Komedie;Petr Čtvrtníček, Milan Šteindler;Petr Čtvrtníček, Milan Šteindler;
84,70%;889;m;Pat a Mat: Karty;1998;Česko;Animovaný / Krátkometrážní;František Váša;;
84,60%;931;m;Rodinná oslava;1998;Dánsko / Švédsko;Drama / Psychologický;Thomas Vinterberg;Ulrich Thomsen, Henning Moritzen;
84,50%;966;m;Nepřítel státu;1998;USA;Drama / Akční;Tony Scott;Will Smith, Gene Hackman;
84,20%;1081;m;Legenda o Mulan;1998;USA;Animovaný / Rodinný;Barry Cook, Tony Bancroft;Ming-Na Wen, BD Wong;
84,00%;1152;m;Blbec k večeři;1998;Francie;Komedie;Francis Veber;Thierry Lhermitte, Jacques Villeret;
84,00%;1153;s;Pomsta - s.r.n.;1998;USA;Krimi / Drama;James Frawley, Lou Antonio;Michael Madsen, Kathleen York;
83,60%;1270;m;Hilary a Jackie;1998;Velká Británie;Drama / Hudební;Anand Tucker;Emily Watson, Rachel Griffiths;
83,50%;1297;m;Černá kočka, bílý kocour;1998;Fed. rep. Jugoslávie / Francie;Komedie / Romantický;Emir Kusturica;Bajram Severdžan, Zabit Memedov;
83,30%;1360;m;Big Lebowski;1998;USA / Velká Británie;Komedie / Krimi;Joel Coen, Ethan Coen;Jeff Bridges, John Goodman;
83,10%;1420;s;Pirát divoký Jack;1998;USA;Animovaný / Komedie;Bill Kopp, Jeff DeGrandis;Jess Harnell, Bill Kopp;
82,70%;1577;m;Kavárna;1998;Česko;Animovaný / Krátkometrážní;Pavel Koutský;Jiří Lábus;
82,60%;1603;m;Je třeba zabít Sekala;1998;Česko / Polsko;Drama;Vladimír Michálek;Bogusław Linda, Olaf Lubaszenko;Český lev
82,40%;1657;s;Trigun;1998;Japonsko;Animovaný / Akční;Satoši Nišimura, Hideo Hajaši;Šó Hajami, Hiromi Curu;
82,30%;1688;s;Hrabě Monte Cristo;1998;Francie / Německo;Dobrodružný / Romantický;Josée Dayan;Gérard Depardieu, Ornella Muti;
82,00%;1785;m;Milenci ze severního pólu;1998;Španělsko / Francie;Drama / Romantický;Julio Medem;Najwa Nimri, Fele Martínez;
81,80%;1837;m;Princ Egyptský;1998;USA;Animovaný / Rodinný;Brenda Chapman, Steve Hickner;Val Kilmer, Ralph Fiennes;
81,80%;1838;m;"Legenda o ""1900""";1998;Itálie;Drama / Romantický;Giuseppe Tornatore;Tim Roth, Pruitt Taylor Vince;
79,80%;2050;m;Lazebník sibiřský;1998;Rusko / Francie;Romantický / Komedie;Nikita Michalkov;Julia Ormond, Richard Harris;
78,80%;2131;m;O kouzelném zvonu;1998;Česko;Animovaný / Krátkometrážní;Aurel Klimt;Július Satinský;
78,40%;2168;m;Bídníci;1998;Velká Británie / Německo;Krimi / Drama;Bille August;Liam Neeson, Geoffrey Rush;
77,00%;2297;m;Sametová extáze;1998;Velká Británie / USA;Drama / Hudební;Todd Haynes;Ewan McGregor, Jonathan Rhys Meyers;
76,70%;2326;m;Tichý hlas;1998;Velká Británie;Komedie / Drama;Mark Herman;Brenda Blethyn, Jane Horrocks;
;2640;m;Věčnost a den;1998;Řecko;;Theo Angelopoulos;;Cannes
91,00%;100;m;Korn: Who Then Now?;1997;USA;Dokumentární / Hudební;McG;Jonathan Davis, Reginald 'Fieldy' Arvizu;
88,90%;217;m;L. A. - Přísně tajné;1997;USA;Drama / Krimi;Curtis Hanson;Kevin Spacey, Russell Crowe;
88,30%;262;m;Krtek a sněhulák;1997;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
88,20%;272;s;Kenpú denki Berserk;1997;Japonsko;Animovaný / Akční;Naohito Takahaši, Jasuhiro Geši;Nobutoši Kanna, Tošijuki Morikawa;
88,00%;290;m;Dobrý Will Hunting;1997;USA;Drama / Psychologický;Gus Van Sant;Robin Williams, Matt Damon;
88,00%;297;m;Rhyme & Reason;1997;USA;Dokumentární / Hudební;Peter Spirer;The Notorious B.I.G., Dr. Dre;
87,90%;303;m;Život je krásný;1997;Itálie;Komedie / Romantický;Roberto Benigni;Roberto Benigni, Nicoletta Braschi;
87,00%;403;m;Princezna Mononoke;1997;Japonsko;Animovaný / Dobrodružný;Hajao Mijazaki;Júko Tanaka, Jódži Macuda;
86,10%;539;m;Hra;1997;USA;Drama / Mysteriózní;David Fincher;Michael Douglas, Sean Penn;
85,70%;615;m;Krtek a myška;1997;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
85,10%;757;m;Titanic;1997;USA;Drama / Romantický;James Cameron;Leonardo DiCaprio, Kate Winslet;Oscar
85,10%;758;m;Lepší už to nebude;1997;USA;Komedie / Drama;James L. Brooks;Jack Nicholson, Helen Hunt;
84,70%;890;m;Ďáblův advokát;1997;USA / Německo;Drama / Mysteriózní;Taylor Hackford;Keanu Reeves, Al Pacino;
84,70%;891;m;Božské děti;1997;Írán;Drama;Majid Majidi;Mohammad Amir Naji, Amir Farrokh Hashemian;
84,70%;892;m;Krtek a metro;1997;Česko;Animovaný / Rodinný;Zdeněk Miler;;
84,50%;967;s;Extreme Dinosaurs;1997;USA;Animovaný / Akční;Richard Trueblood;Scott McNeil, Cusse Mankuma;
84,40%;1005;m;Klepání na nebeskou bránu;1997;Německo / Nizozemsko;Akční / Krimi;Thomas Jahn;Til Schweiger, Jan Josef Liefers;
84,20%;1082;m;Pátý element;1997;Francie;Sci-Fi / Akční;Luc Besson;Bruce Willis, Gary Oldman;
84,10%;1118;s;Oz;1997;USA;Krimi / Drama;Terry Kinney, Bob Balaban;Ernie Hudson, J.K. Simmons;
84,00%;1154;s;Byl jednou jeden... objevitel;1997;Francie;Animovaný / Rodinný;Albert Barillé, Gilbert Barillé;Roger Carel, Olivier Destrez;
83,00%;1458;s;Daria;1997;USA / Jižní Korea;Animovaný / Komedie;Karen Disher, Sue Perrotto;Tracy Grandstaff, Wendy Hoopes;
82,90%;1489;m;Gattaca;1997;USA;Drama / Sci-Fi;Andrew Niccol;Ethan Hawke, Uma Thurman;
82,80%;1534;m;Vyvolávač deště;1997;USA;Drama / Thriller;Francis Ford Coppola;Matt Damon, Danny DeVito;
82,50%;1628;m;Perfect Blue;1997;Japonsko;Animovaný / Drama;Satoši Kon;Rika Macumoto, Šin'ičiró Miki;
82,30%;1689;m;Krycí jméno Donnie Brasco;1997;USA;Drama / Krimi;Mike Newell;Al Pacino, Johnny Depp;
82,30%;1690;m;Kundun;1997;USA;Drama / Životopisný;Martin Scorsese;Tenzin Thuthob Tsarong, Gyurme Tethong;
82,00%;1786;m;Lost Highway;1997;USA / Francie;Mysteriózní / Thriller;David Lynch;Bill Pullman, Patricia Arquette;
81,80%;1839;m;Krtek a zajíček;1997;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
81,60%;1884;m;Kontakt;1997;USA;Drama / Mysteriózní;Robert Zemeckis;Jodie Foster, Matthew McConaughey;
80,30%;2012;m;Knoflíkáři;1997;Česko;Komedie / Povídkový;Petr Zelenka;Pavel Zajíček, František Černý;Český lev
80,00%;2035;m;7 dní, čili tejden;1997;Česko;Komedie;Zdeněk Izer, Marek Dobrodinský;;
80,00%;2036;st;Plavání;1997;Slovensko / Německo;Krátkometrážní;Martin Repka;Peter Tabaček, Lenka Chejnová;
78,70%;2142;m;Krtek a houby;1997;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
78,50%;2160;m;Báječná léta pod psa;1997;Česko;Komedie;Petr Nikolaev;Ondřej Vetchý, Libuše Šafránková;
78,30%;2183;m;Lotrando a Zubejda;1997;Česko / Bulharsko;Pohádka / Komedie;Karel Smyczek;Jiří Strach, Pavel Zedníček;
78,20%;2195;m;Gádžo dilo;1997;Rumunsko / Francie;Komedie / Drama;Tony Gatlif;Romain Duris, Rona Hartner;
70,30%;2554;st;Eastern - Krvavý Hugo;1997;Česko;Animovaný / Krátkometrážní;Aurel Klimt;Štefan Capko, Lucie Štěpánková;
69,10%;2572;m;Nejasná zpráva o konci světa;1997;Slovensko / Česko;Podobenství / Drama;Juraj Jakubisko;Deana Horváthová-Jakubisková, Milan Bahúl;
;2641;m;Chuť třešní;1997;Írán;;Abbás Kiarostamí;;Cannes
;2642;m;Unagi;1997;Japonsko;;Shohei Imamura;;Cannes
92,60%;46;m;Skinny Puppy: Video Collection 1984-1992;1996;USA;Hudební;Jim Van Bebber, Nivek Ogre;Nivek Ogre;
87,00%;404;m;Trainspotting;1996;Velká Británie;Drama / Krimi;Danny Boyle;Ewan McGregor, Ewen Bremner;
86,30%;519;m;Ghosts;1996;USA;Krátkometrážní / Hudební;Stan Winston;Michael Jackson, Stan Winston;
86,10%;540;m;Kolja;1996;Česko / Velká Británie;Komedie / Drama;Jan Svěrák;Zdeněk Svěrák, Andrej Chalimon;Oscar / Český lev
85,60%;634;m;Skála;1996;USA;Akční / Thriller;Michael Bay;Sean Connery, Nicolas Cage;
84,30%;1043;m;Spáči;1996;USA;Krimi / Drama;Barry Levinson;Jason Patric, Robert De Niro;
84,00%;1155;m;Prolomit vlny;1996;Dánsko / Švédsko;Drama / Romantický;Lars von Trier;Emily Watson, Stellan Skarsgård;
83,90%;1179;m;Fargo;1996;USA / Velká Británie;Drama / Krimi;Joel Coen, Ethan Coen;Frances McDormand, William H. Macy;
83,50%;1298;m;Smrtící bumerang;1996;USA;Drama / Thriller;Billy Bob Thornton;Billy Bob Thornton, Dwight Yoakam;
83,50%;1299;s;Ruróni Kenšin: Meidži kenkaku romantan;1996;Japonsko;Animovaný / Akční;Kazuhiro Furuhaši, Šigeo Kóši;Majo Suzukaze, Miina Tominaga;
83,30%;1361;m;Reklama;1996;Česko;Animovaný / Krátkometrážní;Pavel Koutský;;
83,10%;1421;m;Záře;1996;Austrálie;Drama / Životopisný;Scott Hicks;Geoffrey Rush, Sonia Todd;
83,10%;1422;m;Země;1996;Španělsko;Drama / Romantický;Julio Medem;Carmelo Gómez, Emma Suárez;
82,80%;1535;m;Star Trek VIII: První kontakt;1996;USA;Sci-Fi / Dobrodružný;Jonathan Frakes;Patrick Stewart, Jonathan Frakes;
82,60%;1604;m;Hamlet;1996;Velká Británie / USA;Drama / Krimi;Kenneth Branagh;Kenneth Branagh, Richard Attenborough;Oscar
82,50%;1629;m;Mňága - Happy End;1996;Česko;Hudební / Komedie;Petr Zelenka;Petr Fiala, Christopher Clarke;
81,90%;1811;m;Prvotní strach;1996;USA;Drama / Thriller;Gregory Hoblit;Richard Gere, Laura Linney;
81,90%;1824;m;Hype!;1996;USA;Dokumentární / Historický;Doug Pray;Calvin Johnson, Eddie Vedder;
81,50%;1906;m;Lid versus Larry Flynt;1996;USA;Drama / Životopisný;Miloš Forman;Woody Harrelson, Courtney Love;
81,50%;1911;m;Za hranicí ticha;1996;Německo / Švýcarsko;Drama / Hudební;Caroline Link;Sylvie Testud, Tatjana Trieb;
80,40%;2000;m;Zapomenuté světlo;1996;Česko;Drama;Vladimír Michálek;Bolek Polívka, Veronika Žilková;
78,60%;2155;m;Hard Core Logo;1996;Kanada;Komedie / Drama;Bruce McDonald;Hugh Dillon, Callum Keith Rennie;
75,90%;2376;m;Bumerang;1996;Česko;Drama / Psychologický;Hynek Bočan;Jiří Schmitzer, Vladimír Dlouhý;
75,70%;2386;m;Spiklenci slasti;1996;Česko / Švýcarsko;Komedie;Jan Švankmajer;Petr Meissel, Gabriela Wilhelmová;
75,70%;2387;m;Lea;1996;Česko / Německo;Drama / Romantický;Ivan Fíla;Lenka Vlasáková, Christian Redl;
;2643;m;Tajnosti a lži;1996;Spojené království;;Mike Leigh;;Cannes
92,50%;47;m;Sedm;1995;USA;Thriller / Krimi;David Fincher;Brad Pitt, Morgan Freeman;
92,40%;55;m;Sepultura: Third World Chaos;1995;USA;Dokumentární / Hudební;Peter Christopherson, Thomas Mignone;Max Cavalera, Phil Anselmo;
88,60%;240;m;Woodstock '94;1995;USA;Dokumentární / Hudební;Anthony Kiedis, Flea;;
88,20%;273;m;Casino;1995;USA / Francie;Drama / Krimi;Martin Scorsese;Robert De Niro, Sharon Stone;
88,10%;277;m;Nelítostný souboj;1995;USA;Akční / Drama;Michael Mann;Al Pacino, Robert De Niro;
88,00%;291;m;Statečné srdce;1995;USA;Drama / Historický;Mel Gibson;Mel Gibson, Sophie Marceau;Oscar
87,40%;358;m;Obvyklí podezřelí;1995;USA / Německo;Drama / Krimi;Bryan Singer;Stephen Baldwin, Gabriel Byrne;
86,60%;459;m;12 opic;1995;USA;Mysteriózní / Sci-Fi;Terry Gilliam;Bruce Willis, Madeleine Stowe;
86,60%;460;s;Pýcha a předsudek;1995;Velká Británie;Romantický / Drama;Simon Langton;Jennifer Ehle, Colin Firth;
85,80%;594;m;Krtek a robot;1995;Česko;Animovaný / Rodinný;Zdeněk Miler;;
85,60%;635;m;Toy Story: Příběh hraček;1995;USA;Animovaný / Dobrodružný;John Lasseter;Tom Hanks, Tim Allen;
85,20%;731;s;Muž v pozadí;1995;Česko;Drama / Životopisný;Pavel Háša;František Němec, Václav Postránecký;
85,00%;783;m;Krtek a kamarádi;1995;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
84,60%;932;m;Apollo 13;1995;USA;Dobrodružný / Drama;Ron Howard;Tom Hanks, Bill Paxton;
84,40%;1019;m;Flamenco;1995;Španělsko;Hudební / Taneční;Carlos Saura;José Luis Gómez, Paco de Lucía;
84,30%;1044;s;Golden Boy;1995;Japonsko;Animovaný / Komedie;Hirojuki Kitakubo, Akihiko Nišijama;Micuo Iwata, Džúróta Kosugi;
83,80%;1214;s;Father Ted;1995;Velká Británie / Irsko;Komedie;Andy De Emmony, Declan Lowney;Dermot Morgan, Ardal O'Hanlon;
83,60%;1271;m;Mrtvý muž;1995;USA / Německo;Western / Drama;Jim Jarmusch;Johnny Depp, Gary Farmer;
83,60%;1272;m;Krtek a uhlí;1995;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
83,50%;1300;m;Ghost in the Shell;1995;Japonsko;Animovaný / Akční;Mamoru Ošii;Akio Ócuka, Acuko Tanaka;
83,30%;1362;m;Opustit Las Vegas;1995;USA / Velká Británie;Drama / Romantický;Mike Figgis;Nicolas Cage, Elisabeth Shue;
83,10%;1423;m;Underground;1995;Fed. rep. Jugoslávie / Francie;Drama / Komedie;Emir Kusturica;Predrag 'Miki' Manojlovič, Lazar Ristovski;Cannes
83,00%;1459;m;Život v oblouznění;1995;USA;Komedie / Drama;Tom DiCillo;Steve Buscemi, Catherine Keener;
82,90%;1490;m;Krtek a kachničky;1995;Česko;Animovaný / Krátkometrážní;Zdeněk Miler;;
82,90%;1491;m;Krtek a oslava;1995;Česko;Rodinný / Krátkometrážní;Zdeněk Miler;;
82,50%;1630;m;Rozum a cit;1995;USA / Velká Británie;Drama / Komedie;Ang Lee;Emma Thompson, Alan Rickman;
82,50%;1631;m;Smoke;1995;Německo / USA;Drama / Komedie;Wayne Wang;Harvey Keitel, William Hurt;
82,40%;1658;s;Šinseiki Evangelion;1995;Japonsko;Animovaný / Akční;Hideaki Anno, Kazuja Curumaki;Megumi Hajašibara, Megumi Ogata;
82,20%;1726;m;Před úsvitem;1995;USA / Rakousko;Romantický / Drama;Richard Linklater;Ethan Hawke, Julie Delpy;
81,90%;1812;m;Šepot srdce;1995;Japonsko;Animovaný / Drama;Jošifumi Kondó;Jóko Honna, Takaši Tačibana;
81,80%;1840;m;Podezřelá;1995;USA;Drama / Thriller;Taylor Hackford;Kathy Bates, Jennifer Jason Leigh;
80,80%;1957;m;Krtek a víkend;1995;Česko;Animovaný / Rodinný;Zdeněk Miler;;
79,20%;2096;m;Zahrada;1995;Slovensko / Česko;Komedie / Poetický;Martin Šulík;Roman Luknár, Marián Labuda st.;Český lev
78,30%;2184;st;Maškin zabil Koškina;1995;Česko;Animovaný / Loutkový;Aurel Klimt;;
77,60%;2250;m;Opus pana Hollanda;1995;USA;Drama / Hudební;Stephen Herek;Richard Dreyfuss, Glenne Headly;
;2644;m;Zahrada;1995;Česko;;Martin Šulík;;Český lev
95,40%;14;m;Vykoupení z věznice Shawshank;1994;USA;Drama / Krimi;Frank Darabont;Tim Robbins, Morgan Freeman;
94,40%;23;m;Forrest Gump;1994;USA;Drama / Komedie;Robert Zemeckis;Tom Hanks, Robin Wright;Oscar
91,30%;92;m;Guns N Roses: The Making of 'Estranged';1994;USA;Dokumentární / Hudební;Andrew Morahan, August Jakobsson;Axl Rose, Slash;
90,80%;106;m;Pulp Fiction: Historky z podsvětí;1994;USA;Krimi / Drama;Quentin Tarantino;John Travolta, Samuel L. Jackson;
89,20%;195;m;Leon;1994;Francie;Drama / Krimi;Luc Besson;Jean Reno, Gary Oldman;
88,60%;237;s;Přátelé;1994;USA;Komedie / Romantický;Kevin Bright, Gary Halvorson;Jennifer Aniston, Courteney Cox;
86,50%;480;m;Lví král;1994;USA;Animovaný / Dobrodružný;Roger Allers, Rob Minkoff;Matthew Broderick, Jeremy Irons;
86,40%;499;s;Bylo nás pět;1994;Česko;Komedie;Karel Smyczek;Adam Novák, Jaroslav Pauer;
86,40%;500;s;Království;1994;Dánsko / Francie;Drama / Horor;Lars von Trier, Morten Arnfred;Ernst-Hugo Järegård, Kirsten Rolffes;
85,40%;674;s;Saturnin;1994;Česko;Komedie;Jiří Věrčák;Ondřej Havelka, Oldřich Vízner;
85,30%;698;m;Hudba Jiří Šust;1994;Česko;Krátkometrážní;Václav Pavel Borovička;Jiří Šust;
85,10%;759;s;Byl jednou jeden... vynálezce;1994;Francie;Animovaný / Rodinný;Albert Barillé;Patrick Préjean, Sady Rebbot;
84,80%;844;m;Krtek a hodiny;1994;Česko;Krátkometrážní / Animovaný;Zdeněk Miler;;
84,60%;933;m;Kdysi byli bojovníky;1994;Nový Zéland;Drama / Krimi;Lee Tamahori;Rena Owen, Temuera Morrison;
84,60%;934;m;Huo zhe;1994;Čína / Hongkong;Drama / Historický;Yimou Zhang;You Ge, Li Gong;
