idFdb;urlFdb;iRating;sTitle;iYear;sCountry;sGenre;urlPoster;iPage
40071;40071-countdown;58;Countdown;2004;Itálie / Rusko / USA;Akční / Dobrodružný / Krimi / Thriller;7ty1p1f7z8d6t42cawm6.jpeg;5899
59834;59834-uvezneni-v-case;59;Uvězněni v čase;2007;Španělsko;Drama / Horor / Sci-Fi / Thriller / Mysteriózní / Evropská Tvorba;02u16pzdgq9ddkom59em.jpeg;5899
45824;45824-smrti-napospas;59;Smrti napospas;2006;Bulharsko / Španělsko / Velká Británie;Horor / Thriller / Evropská Tvorba;oxuicrnho7pp4dm46zdr.jpeg;5899
40036;40036-2001-maniaku;60;2001 maniaků;2005;USA;Komedie / Horor;iyvel41hnoq7apfmzvrb.jpeg;5900
9971;9971-mistr-kickboxu;60;Mistr Kickboxu;1992;USA;Akční / Komedie / Drama / Rodinný / Sportovní;1m330ufb3zsqmhnf720u.jpeg;5900
7153;7153-karate-kid-2;61;Karate Kid 2;1986;USA;Akční / Dobrodružný / Drama / Rodinný / Romantický / Sportovní;mbxmknep10kuwo5oebpf.jpeg;5900
24552;24552-kluci-a-holky;59;Kluci a holky;2000;USA;Komedie / Drama / Romantický;gi9uyrnrt8ahknq1dsb7.jpeg;5900
34335;34335-maska-junior;60;Maska Junior;2005;USA / Spolková republika Německo;Akční / Dobrodružný / Komedie / Fantasy / Rodinný;2v07oe5nua5848oafoxt.jpeg;5900
39958;39958-maly-indian;59;Malý indián;2004;Argentina;Dobrodružný / Komedie / Animovaný / Fantasy / Muzikál / Rodinný;dtzpe393e0pgd8ht5wr0.jpeg;5900
27670;27670-kevin-ze-severu;59;Kevin ze severu;2001;Kanada / Velká Británie;Akční / Dobrodružný / Komedie / Sportovní;51cd4wusumg0rzfrlril.jpeg;5900
141357;141357-ve-jmenu-krista;58;Ve jménu Krista;2016;USA;Akční / Dobrodružný / Drama / Fantasy / Historický / Thriller / Dokument;xydrcmvj0alscaz5edrz.jpeg;5900
142204;142204-demolice;58;Demolice;2015;USA;Komedie / Drama;rqpc638xfuckysy814xd.jpeg;5900
157236;157236-the-ritual;57;The Ritual;2017;Velká Británie;Horor / Thriller / Mysteriózní;0eyt45ag61py7nqmmbaj.jpeg;5900
